city,year,make,model,price,condition,odometer,fuel,transmission,url,title,source_file
ottawa,2012,kia,sedona,5000.0,good,176000,gas,automatic,https://ottawa.craigslist.org/cto/d/ottawa-seater-kia-sedona-for-sale/7889460399.html,7 seater Kia Sedona for sale,craigslist_ottawa.csv
ottawa,1959,chevrolet,corvette,6500.0,good,142887,gas,automatic,https://ottawa.craigslist.org/cto/d/renfrew-1959-chevrolet-corvette/7889169769.html,1959 chevrolet corvette,craigslist_ottawa.csv
ottawa,1985,Toyota,?,45000.0,good,350000,diesel,manual,https://ottawa.craigslist.org/cto/d/fabreville-toyota/7889054531.html,Toyota,craigslist_ottawa.csv
ottawa,2015,gmc,yukon,8000.0,like new,92,gas,automatic,https://ottawa.craigslist.org/cto/d/ottawa-gmc-denali/7888667196.html,Gmc Denali,craigslist_ottawa.csv
ottawa,1974,lotus,europa,5500.0,excellent,145000,gas,manual,https://ottawa.craigslist.org/cto/d/renfrew-1974-lotus-europia-special/7887807070.html,1974 lotus europia special,craigslist_ottawa.csv
ottawa,1999,land,rover defender,51900.0,good,154000,diesel,manual,https://ottawa.craigslist.org/cto/d/kanata-rare-1999-land-rover-defender-90/7863028737.html,Rare 1999 Land Rover Defender 90 Turbo 2.5L Heritage Special Edition,craigslist_ottawa.csv
ottawa,2011,Audi,Q5 Premium Plus,3000.0,salvage,148000,gas,automatic,https://ottawa.craigslist.org/cto/d/hull-southwest-2011-audi-q5-premium/7887126885.html,2011 Audi Q5 Premium Plus For Sale,craigslist_ottawa.csv
ottawa,1980,1980ford,Shay,18500.0,excellent,13200,gas,manual,https://ottawa.craigslist.org/cto/d/stittsville-1980-ford-shay/7886182518.html,1980 Ford shay,craigslist_ottawa.csv
ottawa,2019,Hyundai,Tucson,16007.0,excellent,160165,gas,automatic,https://ottawa.craigslist.org/ctd/d/pembroke-2019-hyundai-tucson-preferred/7885827116.html,"2019 Hyundai Tucson Preferred – Clean, Reliable SUV",craigslist_ottawa.csv
ottawa,2022,KZ-RV,Sportsmen,17998.0,like new,1,other,other,https://ottawa.craigslist.org/ctd/d/pembroke-2022-sportsmen-191bhk-family/7885752643.html,"2022 Sportsmen 191BHK – Family Bunkhouse, 22ft, Easy Tow",craigslist_ottawa.csv
