city,year,make,model,price,condition,odometer,fuel,transmission,url,title,source_file
indianapolis,2014,Ram,1500 ST,17900.0,excellent,114533.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/whiteland-2014-ram-1500-tradesman/7889772456.html,2014 Ram 1500 Tradesman Regular Cab 4x4,craigslist_indianapolis.csv
indianapolis,2008,International,?,7500.0,,250000.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/zionsville-2008-international-refer-box/7889771186.html,2008 International 4300 26’ Refer Box truck,craigslist_indianapolis.csv
indianapolis,2006,STERLING,L7500 DUMP TRUCK,34900.0,excellent,16388.0,diesel,manual,https://indianapolis.craigslist.org/ctd/d/saint-joseph-2006-sterling-l7500-dump/7889770380.html,2006 STERLING L7500 DUMP TRUCK CAT C7 6 SPD MANUAL 16K WHITE LOW MILES,craigslist_indianapolis.csv
indianapolis,2011,Toyota,Tundra SR5,13900.0,excellent,174442.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/whiteland-2011-toyota-tundra-57l-crew/7889768384.html,2011 Toyota Tundra 5.7L Crew Max 4x4,craigslist_indianapolis.csv
indianapolis,2001,Chevy,van,9700.0,good,100000.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/martinsville-chevy-passenger-van-for/7889767849.html,"CHEVY PASSENGER VAN FOR SALE, CLEAN!",craigslist_indianapolis.csv
indianapolis,2012,honda,odyssey ex-l,5000.0,good,212931.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/fishers-2012-honda-odyssey-ex-dvd-clean/7889761314.html,"2012 Honda Odyssey EX-L (DVD) - $5,000. Clean Title",craigslist_indianapolis.csv
indianapolis,2015,lexus,es 350,7500.0,,135000.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/fishers-2015-lexus-es350-v6/7889759752.html,2015 Lexus ES350 V6,craigslist_indianapolis.csv
indianapolis,2007,Pontiac,Solstice GXP,6900.0,fair,59048.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/fishers-2007-pontiac-solstice-gxp/7889746316.html,2007 Pontiac Solstice GXP Convertible,craigslist_indianapolis.csv
indianapolis,2010,toyota,highlander,3400.0,excellent,202000.0,hybrid,automatic,https://indianapolis.craigslist.org/cto/d/beech-grove-2010-toyota-highlander/7889745060.html,2010 TOYOTA HIGHLANDER HYBRID 4WD,craigslist_indianapolis.csv
indianapolis,1979,Dodge,?,36000.0,excellent,139000.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/avon-1979-dodge-ramcharger/7889735157.html,1979 Dodge Ramcharger,craigslist_indianapolis.csv
indianapolis,1967,dodge,charger,15000.0,good,73975.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/indianapolis-1967-dodge-charger/7889732615.html,1967 Dodge Charger,craigslist_indianapolis.csv
indianapolis,2014,Chevrolet,Silverado 1500 Double Cab,0.0,,172090.0,other,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2014-chevrolet-silverado/7889711620.html,2014 Chevrolet Silverado 1500 Double Cab - In-House Financing Availabl,craigslist_indianapolis.csv
indianapolis,2006,hyundai,tucson,2500.0,good,170000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2006-hyundai-tucson/7889687441.html,2006 Hyundai Tucson,craigslist_indianapolis.csv
indianapolis,2012,nissan,altima,2500.0,good,150000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2012-nissan-altima/7889687254.html,2012 Nissan Altima,craigslist_indianapolis.csv
indianapolis,2012,mazda,6,3000.0,good,100000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2012-mazda/7889687057.html,2012 Mazda 6,craigslist_indianapolis.csv
indianapolis,2010,mercedes,benz s550,5000.0,good,150000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2010-mercedes-benz-s550/7889686792.html,2010 Mercedes Benz s550,craigslist_indianapolis.csv
indianapolis,2017,hyundai,sonata,4000.0,good,170000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2017-hyundai-sonata/7889686485.html,2017 Hyundai sonata,craigslist_indianapolis.csv
indianapolis,2010,toyota,camry,2000.0,good,170000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2010-toyota-camry/7889686323.html,2010 Toyota Camry,craigslist_indianapolis.csv
indianapolis,2006,chevy,avalanche,2000.0,good,200000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2006-chevy-avalanche/7889686154.html,2006 Chevy avalanche,craigslist_indianapolis.csv
indianapolis,2014,chevy,cruze,2000.0,good,150000.0,gas,automatic,https://indianapolis.craigslist.org/ctd/d/indianapolis-2014-chevy-cruze/7889685947.html,2014 Chevy cruze,craigslist_indianapolis.csv
indianapolis,2014,GMC,Sierra 1500 SLE,29500.0,like new,43000.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/indianapolis-2014-gmc-sierra-1500-sle/7889671977.html,2014 GMC SIERRA 1500 SLE CREW CAB - Z71 - 4WD,craigslist_indianapolis.csv
indianapolis,1985,ford,mustang,5.0,good,85000.0,gas,manual,https://indianapolis.craigslist.org/cto/d/fairland-ford-mustang-gt-lx/7889655085.html,Ford Mustang gt lx,craigslist_indianapolis.csv
indianapolis,2022,Dodge,5500,89500.0,,23807.0,diesel,automatic,https://indianapolis.craigslist.org/ctd/d/el-reno-2022-dodge-ram-wd-39ft-cable/7889635889.html,2022 Dodge Ram 5500 4wd 39ft Cable Placer Posi Plus 700-40 Bucket Truc,craigslist_indianapolis.csv
indianapolis,2005,Ford,Taurus,1000.0,,122284.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/anderson-2005-ford-taurus/7889629562.html,2005 Ford Taurus,craigslist_indianapolis.csv
indianapolis,1964,dodge,?,4500.0,good,99999.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/seymour-1964-dodge-dart-gt-runs-and/7889602377.html,1964 dodge dart GT  RUNS AND DRIVES,craigslist_indianapolis.csv
indianapolis,2012,bmw,535i,9999.0,excellent,77509.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/indianapolis-2012-bmw-535i-rwd-runs/7889597817.html,2012 BMW 535i rwd runs great,craigslist_indianapolis.csv
indianapolis,2009,acura,mdx,7000.0,excellent,180000.0,gas,automatic,https://indianapolis.craigslist.org/cto/d/indianapolis-venta-de-auto/7889596657.html,Venta de auto,craigslist_indianapolis.csv
